Network 6,Delta 0,BASE,Images 0,BASE,Completed
Network 7,Delta 0,BASE,Images 1,averageFeatureMaps,Completed
Network 8,Delta 0,BASE,Images 2,maxFeatureMaps,Completed
Network 9,Delta 0,BASE,Images 3,imageMasks,Completed
Network 10,Delta 0,BASE,Images 4,frameDifferences,Completed
Network 11,Delta 1,nesterovMomentum,Images 0,BASE,Completed
Network 12,Delta 1,nesterovMomentum,Images 1,averageFeatureMaps,
Network 13,Delta 1,nesterovMomentum,Images 2,maxFeatureMaps,
Network 14,Delta 1,nesterovMomentum,Images 3,imageMasks,
Network 15,Delta 1,nesterovMomentum,Images 4,frameDifferences,
Network 16,Delta 2,maclaurin,Images 0,BASE,
Network 17,Delta 2,maclaurin,Images 1,averageFeatureMaps,
Network 18,Delta 2,maclaurin,Images 2,maxFeatureMaps,
Network 19,Delta 2,maclaurin,Images 3,imageMasks,
Network 20,Delta 2,maclaurin,Images 4,frameDifferences,
Network 21,Delta 3,learning_rate,Images 0,BASE,
Network 22,Delta 3,learning_rate,Images 1,averageFeatureMaps,
Network 23,Delta 3,learning_rate,Images 2,maxFeatureMaps,
Network 24,Delta 3,learning_rate,Images 3,imageMasks,
Network 25,Delta 3,learning_rate,Images 4,frameDifferences,
Network 26,Delta 4,gradient,Images 0,BASE,
Network 27,Delta 4,gradient,Images 1,averageFeatureMaps,
Network 28,Delta 4,gradient,Images 2,maxFeatureMaps,
Network 29,Delta 4,gradient,Images 3,imageMasks,
Network 30,Delta 4,gradient,Images 4,frameDifferences,
Network 31,Delta 5,determinants,Images 0,BASE,
Network 32,Delta 5,determinants,Images 1,averageFeatureMaps,
Network 33,Delta 5,determinants,Images 2,maxFeatureMaps,
Network 34,Delta 5,determinants,Images 3,imageMasks,
Network 35,Delta 5,determinants,Images 4,frameDifferences,
Network 36,Delta 6,dropout,Images 0,BASE,
Network 37,Delta 6,dropout,Images 1,averageFeatureMaps,
Network 38,Delta 6,dropout,Images 2,maxFeatureMaps,
Network 39,Delta 6,dropout,Images 3,imageMasks,
Network 40,Delta 6,dropout,Images 4,frameDifferences,
